"issue.date","song","artist","year","lyrics"
"February 7","Venus","Shocking Blue",1970,"    a goddess on a mountain top was burning like a silver flame the summit of beauty and love and venus was her name she got it yeah baby  she got it well  i am your venus i am your fire at your desire well  i am your venus i am your fire at your desire her weapons were her crystal eyes making every man mad black as the dark night she was got what no one else had she got it yeah baby  she got it well  i am your venus i am your fire at your desire well  i am your venus i am your fire at your desire she got it yeah baby  she got it well  i am your venus i am your fire at your desire well  i am your venus i am your fire at your desire "
"September 11","Go Away Little Girl","Donny Osmond",1971,"    go away little girl go away little girl i am not supposed to be alone with you i know that your lips are sweet but our lips must never meet i am dating somebody else and i must be true oh  go away little girl  go away little girl  go away little girl  go away little girl  it hurting me more each minute that we delay when you are near me like this you are much too hard to resist so go away little girl before i beg you to stay  go away little girl  go away little girl  go away little girl  oh  go away little girl  it hurts me more the more that we delay  when you are near me like this you are much too hard to resist so  go away little girl let call it a day little girl please  go away little girl before i beg you to stay  go away  go away little girl  go away  go away little girl  go away  please  go away little girl  go away  go away little girl  go away  "
"June 2","My Love","Paul McCartney",1973,"    and when i go away i know my heart can stay with my love it understood  it in the hands of my love and my love does it good wo wo wo wo  wo wo wo wo my love does it good and when the cupboard bare i will still find somethin  there with my love it understood  it everywhere with my love and my love does it good wo wo wo wo  wo wo wo wo my love does it good oh  i love  oh  my love only my love holds the other key to me oh  my love  oh  my love only my love does it good to me wo wo wo wo  wo wo wo wo my love does it good do not ever ask me why lord  i never say goodbye to my love it understood  it everywhere with my love and my love  she does it good wo wo wo wo  wo wo wo wo wo wo wo wo wo wo wo wo my love does it good oh  i love  oh  my love only my love does it good to me wo wo wo wo wo wo wo wo wo "
"May 4","The Loco-Motion","Carole King",1974,"    everybody doin  a brand new dance now come on  baby  do the locomotion i know you will get to like it if you give it a chance now come on  baby  do the locomotion my little baby sister can do it with ease it easier than learning your abc so come on  come on  do the locomotion with me you gotta swing your hips now come on  baby  jump up  jump back oh  well  i think you have got the knack now that you can do it let make a chain now come on  baby  do the locomotion chug a chug a motion like a railroad train now come on  baby  do the locomotion do it nice and easy now and do not lose control a little bit of rhythm and a lot of soul come on  come on  do the locomotion with me move around the floor in a locomotion come on  baby  do the locomotion do it holdin  hands if you get the notion come on  baby  do the locomotion there never been a dance that so easy to do it even makes you happy when you are feeling blue come on  come on  do the locomotion with me "
"January 25","Please Mr. Postman","The Carpenters",1975,"     stop  oh yes  wait a minute mister postman  wait  wait mister postman please mister postman  look and see  oh yeah  if there a letter in your bag for me  please  please mister postman  why it takin  such a long time  oh yeah  for me to hear from that boy of mine there must be some word today from my boyfriend so far away please mister postman  look and see if there a letter  a letter for me i have been standin  here waitin  mister postman so patiently for just a card  or just a letter sayin  he returnin  home to me  mister postman  mister postman  look and see  oh yeah  if there a letter in your bag for me  please  please mister postman  why it takin  such a long time  oh yeah  for me to hear from that boy of mine so many days you passed me by see the tears standin  in my eyes you did not stop to make me feel better by leavin  me a card or a letter  mister postman  mister postman  look and see  oh yeah  if there a letter in your bag for me  please  please mister postman  why it takin  such a long time  why do not you check it and see one more time for me  you gotta  wait a minute wait a minute wait a minute wait a minute  mister postman  mister postman  look and see  c amon deliver the letter  the sooner the better  mister postman "
"September 27","I'm Sorry","John Denver",1975,"    it cold here in the city  it always seems that way  and i have been thinking about you almost every day  thinking about the good times  thinking about the rain  thinking about how bad it feels alone again  i am sorry for the way things are in china  i am sorry things ai not what they used to be  more than anything else  i am sorry for myself cause you are not here with me  our friends all ask about you  i say you are doing fine  i expect to hear from you almost anytime  they all know i am crying  and i can not sleep at night  they all know i am dying down deep inside  i am sorry for all the lies i told you  i am sorry for the things i did not say  but more than anything else  i am sorry for myself  i can not believe you went away  i am sorry if i took some things for granted  i am sorry for the chains i put on you  but more than anything else  i am sorry for myself for living without you  "
"August 20","Best of My Love","The Emotions",1977,"    does not take much to make me happy and make me smile with glee never never will i feel discouraged cause our love no mystery demonstrating love and affection that you give so openly yeah i like the way you make me feel about you baby want the whole wide world to see whoa whoa  you got the best of my love whoa whoa  you got the best of my love whoa whoa  you got the best of my love whoa whoa  you got the best of my love goin  in and out of changes the kind that come around each day my life has a better meaning love has kissed me in a beautiful way and oh yea  my love  my love  oh yea  my love  my love  oh  you got the best of my love whoa whoa  you got the best of my love whoa whoa  you got the best of my love whoa whoa  you got the best of my love demonstrating sweet love and affection that you give so openly yeah the way i feel about you baby can not explain it want the whole wide world to see oh  but in my heart you are all i need you for me and me for you  my love  my love  oh  it growin  every day  oh  my love  my love  oh  oh oh oh oh oh you have got the best of my love oh  oh oh oh oh oh you have got the best of my love oh  givin  you the best of my love my love  my love  my love oh  givin  you the best of my love my love  my love  oh yeah oh  oh oh oh oh oh you have got the best of my love oh  oh oh oh oh oh you have got the best of my love oh  givin  you the best of my love oh  givin  you the best of my love "
"January 1","Maneater","Hall & Oates",1983,"    she will only come out at nights the lean and hungry type nothing is new i have seen her here before watching and waiting ooh  she sittin  with you but her eyes are on the door so many have paid to see what you think you are gettin  for free the woman is wild a she cat tamed by the purr of a jaguar money the matter if you are in it for love you ai not gonna get too far  oh oh  here she comes  watch out boy she will chew you up  oh oh  here she comes  she a maneater  oh oh  here she comes  watch out boy she will chew you up  oh oh  here she comes  she a maneater i would not if i were you i know what she can do she deadly man and she could really rip your world apart mind over matter ooh  the beauty is there but a beast is in the heart  oh oh  here she comes  watch out boy she will chew you up  oh oh  here she comes  she a maneater  oh oh  here she comes  watch out boy she will chew you up  oh oh  here she comes  she a maneater instrumental interlude  ooooooooh  oh oh  here she comes  here she comes watch out boy she will chew you up  whoa oh  here she comes  watch out  she a maneater  oh oh  here she comes   she a maneater  ooh  she will chew you up  oh oh  here she comes  here she comes  she a maneater  oh oh  here she comes   watch out  she will only come out at night  ooh oh  oh oh  here she comes  here she comes she a maneater  oh oh  here she comes   she a maneater  the woman is wild  whoooa  oh oh  here she comes  here she comes watch out boy  watch out boy  oh oh  here she comes  oh  watch out  watch out watch out  watch out  oh oh  here she comes   yeah  yeah  she a maneater  oh oh  here she comes   she a maneater  she watching and waiting  ooh oh  oh oh  here she comes  oh  she a maneater "
"September 6","Venus","Bananarama",1986,"    goddess on the mountain top burning like a silver flame the summit of beauty and love and venus was her name she got it yeah  baby  she got it i am your venus  i am your fire at your desire well  i am your venus  i am your fire at your desire her weapons were her crystal eyes making every man mad black as the dark night she was got what no one else had wah  she got it yeah  baby  she got it i am your venus  i am your fire at your desire well  i am your venus  i am your fire at your desire venus she got it yeah  baby  she got it i am your venus  i am your fire at your desire well  i am your venus  i am your fire at your desire goddess on the mountain top burning like a silver flame the summit of beauty and love and venus was her name wah  she got it yeah  baby  she got it i am your venus  i am your fire at your desire well  i am your venus  i am your fire at your desire venus was her name yeah baby she got it yeah baby she got it yeah baby she got it yeah baby she got it "
"March 21","Lean on Me","Bill Withers",1987,"    sometimes in our lives we all have pain  we all have sorrow  but if we are wise  we know that there always tomorrow  lean on me when you are not strong i will be your friend  i will help you carry on for it will not be long  til i am gonna need somebody to lean on  please swallow your pride if i have things you need to borrow for no one can fill those of your needs that you will not let show  you just call on me  brother  when you need a hand we all need somebody to lean on  i just might have a problem that you will understand  we all need somebody to lean on  lean on me when you are not strong and i will be your friend i will help you carry on for it will not be long  til i am gonna need somebody to lean on you just call on me  brother  when you need a hand we all need somebody to lean on  i just might have a problem that you will understand  we all need somebody to lean on  if there is a load you have to bear that you can not carry i am right up the road i will share your load if you just call me  call me if you need a friend call me  call me  uh huh call me when you need a friend call me if you ever need a friend call me  call me call me  call me call me  call me call me  call me call me if you need a friend call me  call me call me  call me call me  call me call me  call me call me "
"June 6","You Keep Me Hangin' On","Kim Wilde",1987,"    set me free why do not cha babe get out of my life why do not cha babe  cause you do not really love me you just keep me hangin on set me free why do not cha babe get out of my life why do not cha babe you do not really need me but you keep me hangin on why do you keep a comin  around playing with my heart why do not cha get out of my life and let me make a brand new start let me get over you the way you have gotten over me yeah you say although we broke up you still just wanna be friends but how can we still be friends when seeing you only breaks my heart again get out  get out of my life and let me sleep at night  cos you do not really love me you just keep me hangin on you say you still care for me but your heart and soul needs to be free and now that you have got your freedom you wanna still hold on to me you do not want me for yourself so let me find somebody else why do not cha be a man about it and set me free now you do not care a thing about me you are just using me   hey  abusing me get out  get out of my life and let me sleep at night  cos you do not really love me you just keep me hangin on you do not really need me you just keep me   hangin on "
"March 23","One More Try","Timmy T",1991,NA
"October 5","Good Vibrations","Marky Mark and the Funky Bunch featuring Loleatta Holloway",1991,"    yeah can you feel it baby i can too come on swing it come on swing it come on swing it come on swing it 1   2   3   now we come to the pay off it such a good vibration it such a sweet sensation it such a good vibration it such a sweet sensation yo it about that time to bring forth the rhythm and the rhyme i am a get mine so get yours i wanna see sweat comin  out your pores on the house tip is how i am swinging this strictly hip hop boy i ai not singing this bringing this to the entire nation black  white  red  brown feel the vibration come on come on feel it feel it come on come on feel it feel it come on come on feel it feel it feel the vibration it such a good vibration it such a sweet sensation it such a good vibration it such a sweet sensation vibrations good like sunkist many wanna know who done this marky mark and i am here to move you rhymes will groove you and i am here to prove to you that we can party on the positive side and pump positive vibes so come along for the ride making you feel the rhythm is my occupation so feel the vibration come on come on feel it feel it come on come on feel it feel it come on come on feel it feel it come on come on it such a good vibration it such a sweet sensation it such a good vibration it such a sweet sensation donnie d break it down donnie d on the back up drug free so put the crack up no need for speed i am anti d r u g g i e my body is healthy and rhymes makes me wealthy and the funky bunch helps me to bring you a show with no intoxication come on feel the vibration yeah can you feel it baby i can too it such a good vibration it such a sweet sensation it such a good vibration it such a sweet sensation now the time has come for you to get up the rest had you fed up but yo i will not let up on the rhythm and rhyme that designed to make your behind move to what i am inclined to pure hip hop  no sell out if you ai not in it to win it  then get the hell out i command you to dance  i wanna see motivation come on now feel the vibration it such a good vibration come on come on come on it such a sweet sensation feel it feel it it such a good vibration it such a sweet sensation feel vibraion it such a good vibration it such a sweet sensation it such a good vibration it such a sweet sensation "
"November 23","When a Man Loves a Woman","Michael Bolton",1991,"    when a man loves a woman ca not keep his mind on nothin  else he would trade the world for a good thing he found if she is bad  he can not see it she can do no wrong turn his back on his best friend if he puts her down when a man loves a woman spend his very last dime trying to hold on to what he needs he would give up all his comforts and sleep out in the rain if she said that the way it ought to be when a man loves a woman i give you everything i got  yeah  trying to hold on to your precious love baby please do not treat me bad when a man loves a woman deep down in his soul she can bring him such misery if she is playing him for a fool he the last one to know loving eyes can never see yes when a man loves a woman i know exactly how he feels  cause baby  baby  baby i am a man when a man loves a woman "
"April 25","Jump","Kris Kross",1992,"    jump  jump you should know  you should know that ahhh kris kross is not having anything today as we stand there totally crossed out we commence to make you jump  jump the mac dad will make ya jump jump the daddy mac will make ya jump jump kris kross will make ya jump jump do not try to compare us to another bad little fad i am the mac and i am bad givin  ya something that you never had i will make ya bump hump wiggle and shake your rump  cause i will be kicking the flavor that makes you wanna jump how high  real high cause i am just so fly a young lovable  huggable type of guy and everything is to the back with a little slack  cause inside out its wiggida wiggida wiggida wack i come stompin  with somethin  pumpin  to keep you jumpin  r b   rap is bullcrap is what i am dumpin  and ai not nuthin  soft about kris kross we all that so when they ask do they rock say believe that jump  jump the mac dad will make ya jump  jump a daddy mac will make ya jump  jump kris kross will make ya jump  jump uh huh uh huh jump  jump the mac dad will make ya jump  jump a daddy mac will make ya jump  jump kris kross will make ya jump  jump i like my stuff knockin  knockin  i love it when a girlies be like jockin  jockin  the d a double d y m a c yeah you know me i got you jumpin  an  bumpin  an  pumpin  movin  all around g in the mix i made mc steps back they tried to step to the mac then they got jacked to the back you will be sportin  the gear that coincidental act like you know and do not be claiming that it mental two lil  kids with a flow you ai not ever heard and nuttin  fake and you can understand every word as you listen to my cool smooth melody the daddy makes you j u m p jump jump the mac dad will make you jump  jump a daddy mac will make you jump  jump kris kross will make you jump  jump uh huh uh huh jump jump the mac dad will make you jump  jump a daddy mac will make you jump  jump kris kross will make you jump  jump now  the formalities of this and that is that kris kross ai not comin  off wack and for all ya will sucks that do not know check it out some of them try to rhyme but they can not rhyme like this  go  go   some of them try to rhyme but they can not rhyme like this  go  go   some of them try to rhyme but they can not rhyme like this  go  go   some of them try to rhyme but they can not  go  go    cause i am the miggida miggida miggida mac daddy the miggida miggida miggida mac  cause i am the miggida miggida miggida mac daddy the miggida miggida miggida mac i make you wanna 4x  jump jump the mac dad will make you jump  jump a daddy mac will make you jump  jump kris kross will make you jump  jump uh huh uh huh believe dat  "
"June 20","I'll Be There","Mariah Carey featuring Trey Lorenz",1992,"    you and i must make a pact we must bring salvation back where there is love i will be there i will reach out my hand to you i will have faith in all you do just call my name and i will be there chorus   i will be there to comfort you i will build my world of dreams around you i am so glad i found you i will be there with a love so strong i will be your strength you know i will keep holding on let me fill your heart with joy and laughter togetherness well it all i am after just call my name and i will be there i will be there to protect you with an unselfish love that respects you just call my name and i will be there chorus  if you should ever find someone new i know she better be good to you  cause if she does not then i will be there do not you know baby i will be there i will be there just call my name and i will be there i will be there baby you know i will be there just call my name and i will be there just look over your shoulder just call my name and i will be there "
"February 12","The Power of Love","Celine Dion",1994,"    the whispers in the morning of lovers sleeping tight are rolling by like thunder now as i look in your eyes i hold on to your whole body and feel each move you make your voice is warm and tender a love that i could not forsake  cause i am your lady and you are my man whenever you reach for me i will do all that i can lost is how i am feeling lying in your arms when the world outside too much to take that all ends when i am with you even though there may be times it seems i am far away never wonder where i am  cause i am always by your side  cause i am your lady and you are my man whenever you reach for me i will do all that i can we are heading for something somewhere i have never been sometimes i am frightened but i am ready to learn of the power of love the sound of your heart beating made it clear suddenly the feeling that i can not go on is light years away  cause i am your lady and you are my man whenever you reach for me i am gonna do all that i can we are heading for something somewhere i have never been sometimes i am frightened but i am ready to learn of the power of love the power of love the power of love sometimes i am frightened but i am ready to learn of the power of love the power of love as i look into your eyes the power of love "
"September 13","Honey","Mariah Carey",1997,"    oh honey you can have me when you want me if you simply ask me to be there and you are the only one who makes me come running  cause what you got is far beyond compare chorus   and it just like honey when you are love comes over me oh baby i have got a dependency always strung out for another taste of your honey it like honey when it washes over me you know sugar never ever was so sweet and i am dying for ya  crying for ya  i adore ya one hit of your love addicted me now i am strung out on you darling do not you see every night and day i can hardly wait for another taste of honey honey i can not describe how good it feels inside honey i can not describe how good it feels inside i can not be elusive with you honey  cause it blatant that i am feeling you and it too hard for me to leave abruptly  cause you are the only thing i wanna do chorus  now  what we gonna do right here is we gonna smooth it out c amon oh oh honey got me hooked on you mc and she will not stop chorus  "
"June 2","Lady Marmalade","Christina Aguilera",2001,"     lil  kim   where all my soul sisters lemme hear y all flow sisters mya   hey sister  go sister  soul sister  flow sister hey sister  go sister  soul sister  go sister mya   he met marmalade down in old moulin rouge struttin  her stuff on the street she said   hello  hey  joe  you wanna give it a go   giuchie  giuchie  ya ya dada giuchie  giuchie  ya ya here  here mocha chocalata ya ya creole lady marmalade lil  kim   what  what  what  what voulez vous coucher avec moi ce soir voulez vous coucher avec moi pink   he sat in her boudoir while she freshened up boy drank all that magnolia wine on her black satin sheets is where he started to freak giuchie  giuchie  ya ya dada giuchie  giuchie  ya ya here mocha chocalata ya ya creole lady marmalade voulez vous coucher avec moi ce soir  ce soir what  what  what voulez vous coucher avec moi lil  kim   he come through with the money in the garter belts i let him know we  bout that cake straight up the gate we independent women  some mistake us for whores i am sayin   why spend mine when i can spend yours disagree  well that you and i am sorry i amma keep playing these cats out like atari wearing high heel shoes  getting love from the dudes four bad ass chicks from the moulin rouge hey sisters  soul sisters better get that dough sisters we drink wine with diamonds in the glass by the case the meaning of expensive taste if you wanna giuchie  giuchie  ya ya mocha chocalata what  creole lady marmalade one more time c amon now marmalade  lady marmalade  marmalade christina   touch of her skin feeling silky smooth color of caf  au lait alright made the savage beast inside roar until he cried more  more  more pink   now he back home doin   9 to 5  mya   livin  the grey flannel life christina   but when he turns off to sleep memories creep more  more  more giuchie  giuchie  ya ya dada giuchie  giuchie  ya ya here mocha choca lata ya ya creole lady marmalade voulez vous coucher avec moi ce soir  ce soir  voulez vous coucher avec moi  all my sisters  voulez vous coucher avec moi ce soir  ce soir  voulez vous coucher avec moi  c amon   missy   christina pink  lady marmalade  lil  kim mya rockwilder baby  baby moulin rouge misdemeanor here creole lady marmalade yes  ah "
"November 3","Family Affair","Mary J. Blige",2001,"    let get it crunk up on have fun up on up in this dancery we got you open now you floatin  so you gots to dance for me do not need no hateration holleration in this dancery let get it percolatin  while you are waiting so just dance for me come on  everybody  get on up  cause you know we gots to get it crunk mary j  is in the spot tonight and i amma make it feel alright  make it feel alright  come on  baby  just party with me let loose and set your body free leave your situations at the door so when you step inside jump on the floor let get it crunk up on have fun up on up in this dancery we got you open now you floatin  so you gots to dance for me do not need no hateration holleration in this dancery let get it percolatin  while you are waiting so just dance for me it only gonna be about a matter of time before you get loose and start to lose your mind cop you a drink  go  head and rock your ice  cause we are celebrating no more drama in our life with the dre track pumpin  everybody jumpin  go ahead and twist your back and get your body bumpin  i told you leave your situations at the door so grab somebody and get your ass on the dance floor let get it crunk up on have fun up on up in this dancery we got you open now you floatin  so you gots to dance for me do not need no hateration holleration in this dancery let get it percolatin  while you are waiting so just dance for me we do not need no haters no  we do not need  no we are just tryin  to love one another we just want y all have a good time no more drama in your life work real hard to make a dime if you got beef  your problem  not mine leave all that bs outside we are gonna celebrate all night let have fun tonight  no fights turn that dre track way up high making you dance all night and i got some real heat for you this time it does not matter if you are white or black let get crunk  cause mary back let get it crunk up on have fun up on up in this dancery we got you open now you floatin  so you gots to dance for me do not need no hateration holleration in this dancery let get it percolatin  while you are waiting so just dance for me "
"November 11","My Love","Justin Timberlake featuring T.I.",2006,"    ai not another woman that can take your spot my  if i wrote you a symphony  just to say how much you mean to me what would you do  if i told you you were beautiful would you date me on the regular tell me  would you  well  baby i have been around the world but i ai not seen myself another girl like you this ring here represents my heart but there just one thing i need from you saying  i do  yeah  because i can see us holding hands walking on the beach  our toes in the sand i can see us on the countryside sitting on the grass  laying side by side you could be my baby  let me make you my lady girl  you amaze me ai not gotta do nothing crazy see  all i want you to do is be my love  so do not give away  my love  so do not give away  my love  so do not give away  ai not another woman that can take your spot  my love  so do not give away  my love  so do not give away  my love  so do not give away  ai not another woman that can take your spot  my love girl my love my love now  if i wrote you a love note and made you smile with every word i wrote what would you do  would that make you wanna change your scene and wanna be the one on my team tell me  would you  see  what the point in waiting anymore   cause girl i have never been more sure that baby  it you this ring here represents my heart and everything that you have been waiting for just saying  i do  yeah  because i can see us holding hands walking on the beach  our toes in the sand i can see us on the countryside sitting on the grass  laying side by side you could be my baby  let me make you my lady girl  you amaze me ai not gotta do nothing crazy see  all i want you to do is be my love  so do not give away  my love  so do not give away  my love  so do not give away  ai not another woman that can take your spot  my love  so do not give away  my love  so do not give away  my love  so do not give away  ai not another woman that can take your spot  my love girl my love my love t i    alright it time to get it jt i do not know what she hesitates for man shorty  cool as a fan on the new once again but he still has fan from peru to japan hey  listen baby  i do not wanna ruin your plan but if you got a man  try to lose him if you can  cause the girls real wild throw their hands up high when you wanna come and kick it with a stand up guy you do not really wanna let the chance go by  cause you ai not been seen with a man so fly and with friends so fly i can go fly private   cause i handle my b i  they call me candle guy  why   simply  cause i am on fire i hate to have to cancel my vacation so you can not deny i am patient  but i ai not gon  try you do not come  i ai not gon  die hold up  what you mean  you can not go  why  me and your boyfriend we ai not no tie you say you wanna kick it when i ai not so high  man well  baby it obvious that i ai not your guy i ai not gon  lie  i will fill your space and forget your face  i swear i will st  barths  anguilla anywhere i chill just bring with me any pair  i will i can see us holding hands walking on the beach  our toes in the sand i can see us on the countryside sitting on the grass  laying side by side you could be my baby  let me make you my lady girl  you amaze me ai not gotta do nothing crazy see  all i want you to do is be my love  love  my love  love  my love  love  ai not another woman that can take your spot  my love  love  my love  love  my love  love  ai not another woman that can take your spot  my love girl my love my love "
"September 8","Big Girls Don't Cry","Fergie",2007,"    the smell of your skin lingers on me now  you are probably on your flight back to your home town  i need some shelter of my own protection  baby  to be with myself and center clarity  peace  serenity  i hope you know  i hope you know that this has nothing to do with you  it personal  myself and i  we have got some straightenin  out to do  and i am gonna miss you like a child misses their blanket  but i have got to get a move on with my life  it time to be a big girl now  and big girls do not cry  do not cry  do not cry  do not cry  the path that i am walking i must go alone  i must take the baby steps  til i am full grown  full grown  fairytales do not always have a happy ending  do they  and i foresee the dark ahead if i stay  i hope you know  i hope you know that this has nothing to do with you  it personal  myself and i  we have got some straightenin  out to do  and i am gonna miss you like a child misses their blanket  but i have got to get a move on with my life  it time to be a big girl now  and big girls do not cry  like the little school mate in the school yard we will play jacks and uno cards  i will be your best friend and you will be my valentine  yes  you can hold my hand if you want to  cause i want to hold yours too  we will be playmates and lovers and share our secret worlds  but it time for me to go home  it getting late and dark outside  i need to be with myself and center clarity  peace  serenity  i hope you know  i hope you know that this has nothing to do with you  it personal  myself and i  we have got some straightenin  out to do  and i am gonna miss you like a child misses their blanket  but i have got to get a move on with my life  it time to be a big girl now  and big girls do not cry  do not cry  do not cry  do not cry  "
"May 24","Take a Bow","Rihanna",2008,"    oh  how about a round of applause  yeah standing ovation oh  yeah yeah  yeah  yeah  yeah you look so dumb right now standing outside my house trying to apologize you are so ugly when you cry please  just cut it out do not tell me you are sorry  cause you are not baby  when i know you are only sorry you got caught but you put on quite a show really had me going but now it time to go curtain finally closing that was quite a show very entertaining but it over now  but it over now  go on and take a bow grab your clothes and get gone  get gone  you better hurry up before the sprinklers come on  come on  talking  bout   girl  i love you  you are the one   this just looks like a re run please  what else is on  on  do not tell me you are sorry  cause you are not baby  when i know you are only sorry you got caught but you put on quite a show really had me going but now it time to go curtain finally closing that was quite a show very entertaining but it over now  but it over now  go on and take a bow oh  and the award for the  best liar  goes to you  goes to you  for making me believe that you could be faithful to me let hear your speech how about a round of applause a standing ovation but you put on quite a show really had me going now it time to go curtain finally closing that was quite a show very entertaining but it over now  but it over now  go on and take a bow but it over now "
"September 29","One More Night","Maroon 5",2012,"    you and i go hard at each other like we are going to war you and i go rough  we keep throwing things and slamming the door you and i get so damn dysfunctional  we stopped keeping score you and i get sick  yeah  i know that we can not do this no more yeah  but baby there you go again  there you go again  making me love you yeah  i stopped using my head  using my head  let it all go got you stuck on my body  on my body  like a tattoo and now i am feeling stupid  feeling stupid  crawling back to you so i cross my heart and i hope to die that i will only stay with you one more night and i know i said it a million times but i will only stay with you one more night try to tell you  no  but my body keeps on telling you  yes  try to tell you  stop   but your lipstick got me so out of breath i will be waking up in the morning  probably hating myself and i will be waking up  feeling satisfied but guilty as hell yeah  but baby there you go again  there you go again  making me love you  making me love you  yeah  i stopped using my head  using my head  let it all go  i let it all go  got you stuck on my body  on my body  like a tattoo  like a tattoo  yeah  and now i am feeling stupid  feeling stupid  crawling back to you so i cross my heart and i hope to die  yeah  that i will only stay with you one more night  oh  and i know i said it a million times  yeah  but i will only stay with you one more night  yeah  yeah  baby  give me one more night yeah  baby  give me one more night  whoa  yeah  yeah  baby  give me one more night  oh  yeah  yeah  yeah  but baby there you go again  there you go again making me love you yeah  i stopped using my head  using my head  let it all go got you stuck on my body  on my body like a tattoo yeah  yeah  yeah  yeah so i cross my heart and i hope to die  oh oh oh oh  oh oh oh oh  that i will only stay with you one more night  oh oh oh oh oh oh  and i know i said it a million times  oh  i said it a million times  but i will only stay with you one more night  yeah  baby give me one more night  so i cross my heart and i hope to die  yeah  yeah  that i will only stay with you one more night  yeah  yeah  and i know i said it a million times  yeah  yeah  but i will only stay with you one more night  yeah  yeah  i do not know  whatever "
"June 6","Bad Blood","Taylor Swift featuring Kendrick Lamar",2015,"     cause  baby  now we got bad blood you know it used to be mad love so take a look what you have done  cause  baby  now we got bad blood hey now we got problems and i do not think we can solve them you made a really deep cut and  baby  now we got bad blood hey did you have to do this  i was thinking that you could be trusted did you have to ruin what was shiny  now it all rusted did you have to hit me  where i am weak  baby  i could not breathe and rub it in so deep  salt in the wound like you are laughing right at me oh  it so sad to think about the good times  you and i  cause  baby  now we got bad blood you know it used to be mad love so take a look what you have done  cause  baby  now we got bad blood hey now we got problems and i do not think we can solve them you made a really deep cut and  baby  now we got bad blood hey did you think we would be fine  still got scars on my back from your knife so do not think it in the past  these kinda wounds they last and they last  now did you think it all through  all these things will catch up to you and time can heal but this will not  so if you are coming my way  just do not oh  it so sad to think about the good times  you and i  cause  baby  now we got bad blood you know it used to be mad love so take a look what you have done  cause  baby  now we got bad blood hey now we got problems and i do not think we can solve them you made a really deep cut and  baby  now we got bad blood hey band aids do not fix bullet holes you say sorry just for show if you live like that  you live with ghosts  ghosts  band aids do not fix bullet holes  hey  you say sorry just for show  hey  if you live like that  you live with ghosts  hey  mhmmm if you love like that blood runs cold  cause  baby  now we got bad blood you know it used to be mad love  mad love  so take a look what you have done  cause  baby  now we got bad blood hey now we got problems and i do not think we can solve them  think we can solve them  you made a really deep cut and  baby  now we got bad blood  hey   cause  baby  now we got bad blood you know it used to be mad love so take a look what you have done  look what you have done   cause  baby  now we got bad blood hey now we got problems and i do not think we can solve them you made a really deep cut and  baby  now we got bad blood hey "
"November 14","Hello","Adele",2015,"    hello  it me i was wondering if after all these years you would like to meet to go over everything they say that time supposed to heal ya but i ai not done much healing hello  can you hear me  i am in california dreaming about who we used to be when we were younger and free i have forgotten how it felt before the world fell at our feet there such a difference between us and a million miles hello from the other side i must have called a thousand times to tell you i am sorry for everything that i have done but when i call you never seem to be home hello from the outside at least i can say that i have tried to tell you i am sorry for breaking your heart but it do not matter  it clearly does not tear you apart anymore hello  how are you  it so typical of me to talk about myself  i am sorry i hope that you are well did you ever make it out of that town where nothing ever happened  it no secret that the both of us are running out of time so hello from the other side  other side  i must have called a thousand times  thousand times  to tell you i am sorry for everything that i have done but when i call you never seem to be home hello from the outside  outside  at least i can say that i have tried  i have tried  to tell you i am sorry for breaking your heart but it do not matter  it clearly does not tear you apart anymore  highs  highs  highs  highs  lows  lows  lows  lows  anymore  highs  highs  highs  highs  lows  lows  lows  lows  anymore  highs  highs  highs  highs  lows  lows  lows  lows  anymore  highs  highs  highs  highs  lows  lows  lows  lows  anymore hello from the other side  other side  i must have called a thousand times  thousand times  to tell you i am sorry for everything that i have done but when i call you never seem to be home hello from the outside  outside  at least i can say that i have tried  i have tried  to tell you i am sorry for breaking your heart but it do not matter  it clearly does not tear you apart anymore "
"January 20","Perfect","Ed Sheeran",2018,"    i found a love for me darling  just dive right in and follow my lead well  i found a girl  beautiful and sweet oh  i never knew you were the someone waiting for me  cause we were just kids when we fell in love not knowing what it was i will not give you up this time but darling  just kiss me slow your heart is all i own and in your eyes you are holding mine baby  i am dancing in the dark with you between my arms barefoot on the grass listening to our favourite song when you said you looked a mess i whispered underneath my breath but you heard it  darling  you look perfect tonight well  i found a woman  stronger than anyone i know she shares my dreams  i hope that someday i will share her home i found a love to carry more than just my secrets to carry love  to carry children of our own we are still kids but we are so in love fighting against all odds i know we will be alright this time darling  just hold my hand be my girl  i will be your man i see my future in your eyes baby  i am dancing in the dark with you between my arms barefoot on the grass listening to our favourite song when i saw you in that dress looking so beautiful i do not deserve this darling  you look perfect tonight baby  i am dancing in the dark with you between my arms barefoot on the grass listening to our favourite song i have faith in what i see now i know i have met an angel in person and she looks perfect i do not deserve this you look perfect tonight "
